id,community,community_name,community_whole,participation_weight,strength,whole_brain_avg_PC,whole_brain_strength
'glasser.lh.L_POS2_ROI.label',3,MTN,MTN,0.509226568,12.39195052,0.567205574,19.52676658
'glasser.lh.L_PCV_ROI.label',3,MTN,MTN,0.498976065,11.67101591,0.419846031,17.61837177
'glasser.lh.L_7Pm_ROI.label',3,MTN,MTN,0.497668776,12.78883616,0.405142853,18.50517904
'glasser.lh.L_7Am_ROI.label',3,MTN,MTN,0.174666478,8.914411509,0.534575935,24.06363231
'glasser.lh.L_7PL_ROI.label',3,MTN,MTN,0.096269741,8.03701579,0.61632303,25.72416598
'glasser.lh.L_PreS_ROI.label',3,MTN,MTN,0.560467567,13.80457345,0.386176598,17.11498807
'glasser.lh.L_ProS_ROI.label',3,MTN,MTN,0.468687849,8.792754677,0.545274809,24.4196027
'glasser.lh.L_PeEc_ROI.label',3,MTN,MTN,0.590201252,5.40379085,0.449146197,13.80997772
'glasser.lh.L_PHA1_ROI.label',3,MTN,MTN,0.556557669,16.3685632,0.317153405,20.8248433
'glasser.lh.L_PHA3_ROI.label',3,MTN,MTN,0.480609879,13.10893623,0.380357758,21.84315682
'glasser.lh.L_TPOJ3_ROI.label',3,MTN,MTN,0.518969041,8.669996142,0.539061899,15.19156968
'glasser.lh.L_DVT_ROI.label',3,MTN,MTN,0.208516429,9.257109607,0.517494629,26.91446603
'glasser.lh.L_PGp_ROI.label',3,MTN,MTN,0.32129933,10.91326635,0.362859642,21.37074287
'glasser.lh.L_PHA2_ROI.label',3,MTN,MTN,0.553663977,14.65200242,0.271590616,16.52647225
'glasser.rh.R_POS2_ROI.label',3,MTN,MTN,0.502499496,11.26999538,0.592528363,20.91820472
'glasser.rh.R_PCV_ROI.label',3,MTN,MTN,0.387587172,9.381904549,0.524908348,20.81896769
'glasser.rh.R_7Pm_ROI.label',3,MTN,MTN,0.369437788,10.39198181,0.397925673,20.6609268
'glasser.rh.R_POS1_ROI.label',3,MTN,MTN,0.495045481,24.509613,0.481417242,25.95783286
'glasser.rh.R_7Am_ROI.label',3,MTN,MTN,0.044524988,6.928090027,0.741389251,29.67067324
'glasser.rh.R_7PL_ROI.label',3,MTN,MTN,0.029304192,6.049038099,0.661824042,27.55989295
'glasser.rh.R_PreS_ROI.label',3,MTN,MTN,0.564352512,11.63925442,0.306402078,19.43869375
'glasser.rh.R_ProS_ROI.label',3,MTN,MTN,0.374473589,7.840226708,0.494168048,27.50926826
'glasser.rh.R_PeEc_ROI.label',3,MTN,MTN,0.576690005,5.938949807,0.412270762,11.47785573
