id,community,community_sublabels,subnet_size
'glasser.lh.L_V1_ROI.label',1,1,3
'glasser.lh.L_MST_ROI.label',1,1,3
'glasser.lh.L_V6_ROI.label',1,1,3
'glasser.lh.L_V2_ROI.label',1,1,3
'glasser.lh.L_V3_ROI.label',1,1,3
'glasser.lh.L_V4_ROI.label',1,1,3
'glasser.lh.L_V8_ROI.label',1,1,3
'glasser.lh.L_4_ROI.label',2,2,3
'glasser.lh.L_3b_ROI.label',2,2,3
'glasser.lh.L_FEF_ROI.label',4,4,3
'glasser.lh.L_PEF_ROI.label',6,6,3
'glasser.lh.L_55b_ROI.label',7,7,3
'glasser.lh.L_V3A_ROI.label',1,1,3
'glasser.lh.L_RSC_ROI.label',10,12,3
'glasser.lh.L_POS2_ROI.label',11,11,3
'glasser.lh.L_V7_ROI.label',1,1,3
'glasser.lh.L_IPS1_ROI.label',1,1,3
'glasser.lh.L_FFC_ROI.label',1,1,3
'glasser.lh.L_V3B_ROI.label',1,1,3
'glasser.lh.L_LO1_ROI.label',1,1,3
'glasser.lh.L_LO2_ROI.label',1,1,3
'glasser.lh.L_PIT_ROI.label',1,1,3
'glasser.lh.L_MT_ROI.label',1,1,3
'glasser.lh.L_A1_ROI.label',9,9,3
'glasser.lh.L_PSL_ROI.label',7,7,3
'glasser.lh.L_SFL_ROI.label',7,7,3
'glasser.lh.L_PCV_ROI.label',11,11,3
'glasser.lh.L_STV_ROI.label',7,7,3
'glasser.lh.L_7Pm_ROI.label',11,11,3
'glasser.lh.L_7m_ROI.label',10,12,3
'glasser.lh.L_POS1_ROI.label',10,12,3
'glasser.lh.L_23d_ROI.label',10,10,3
'glasser.lh.L_v23ab_ROI.label',10,12,3
'glasser.lh.L_d23ab_ROI.label',10,12,3
'glasser.lh.L_31pv_ROI.label',10,12,3
'glasser.lh.L_5m_ROI.label',2,2,3
'glasser.lh.L_5mv_ROI.label',5,5,3
'glasser.lh.L_23c_ROI.label',3,3,3
'glasser.lh.L_5L_ROI.label',2,2,3
'glasser.lh.L_24dd_ROI.label',2,2,3
'glasser.lh.L_24dv_ROI.label',2,2,3
'glasser.lh.L_7AL_ROI.label',6,6,3
'glasser.lh.L_SCEF_ROI.label',3,3,3
'glasser.lh.L_6ma_ROI.label',3,3,3
'glasser.lh.L_7Am_ROI.label',11,11,3
'glasser.lh.L_7PL_ROI.label',11,11,3
'glasser.lh.L_7PC_ROI.label',6,6,3
'glasser.lh.L_LIPv_ROI.label',1,1,3
'glasser.lh.L_VIP_ROI.label',1,1,3
'glasser.lh.L_MIP_ROI.label',1,1,3
'glasser.lh.L_1_ROI.label',2,2,3
'glasser.lh.L_2_ROI.label',2,2,3
'glasser.lh.L_3a_ROI.label',2,2,3
'glasser.lh.L_6d_ROI.label',2,2,3
'glasser.lh.L_6mp_ROI.label',2,2,3
'glasser.lh.L_6v_ROI.label',2,2,3
'glasser.lh.L_p24pr_ROI.label',9,9,3
'glasser.lh.L_33pr_ROI.label',3,3,3
'glasser.lh.L_a24pr_ROI.label',3,3,3
'glasser.lh.L_p32pr_ROI.label',3,3,3
'glasser.lh.L_a24_ROI.label',10,13,3
'glasser.lh.L_d32_ROI.label',10,10,3
'glasser.lh.L_8BM_ROI.label',8,8,3
'glasser.lh.L_p32_ROI.label',10,13,3
'glasser.lh.L_10r_ROI.label',10,13,3
'glasser.lh.L_47m_ROI.label',10,13,3
'glasser.lh.L_8Av_ROI.label',10,10,3
'glasser.lh.L_8Ad_ROI.label',10,12,3
'glasser.lh.L_9m_ROI.label',10,10,3
'glasser.lh.L_8BL_ROI.label',10,10,3
'glasser.lh.L_9p_ROI.label',10,10,3
'glasser.lh.L_10d_ROI.label',10,10,3
'glasser.lh.L_8C_ROI.label',8,8,3
'glasser.lh.L_44_ROI.label',8,8,3
'glasser.lh.L_45_ROI.label',7,7,3
'glasser.lh.L_47l_ROI.label',7,7,3
'glasser.lh.L_a47r_ROI.label',8,8,3
'glasser.lh.L_6r_ROI.label',6,6,3
'glasser.lh.L_IFJa_ROI.label',8,8,3
'glasser.lh.L_IFJp_ROI.label',8,8,3
'glasser.lh.L_IFSp_ROI.label',8,8,3
'glasser.lh.L_IFSa_ROI.label',8,8,3
'glasser.lh.L_p9-46v_ROI.label',8,8,3
'glasser.lh.L_46_ROI.label',3,3,3
'glasser.lh.L_a9-46v_ROI.label',8,8,3
'glasser.lh.L_9-46d_ROI.label',3,3,3
'glasser.lh.L_9a_ROI.label',10,10,3
'glasser.lh.L_10v_ROI.label',10,13,3
'glasser.lh.L_a10p_ROI.label',10,10,3
'glasser.lh.L_10pp_ROI.label',10,13,3
'glasser.lh.L_11l_ROI.label',8,8,3
'glasser.lh.L_13l_ROI.label',8,8,3
'glasser.lh.L_OFC_ROI.label',10,13,3
'glasser.lh.L_47s_ROI.label',10,10,3
'glasser.lh.L_LIPd_ROI.label',8,8,3
'glasser.lh.L_6a_ROI.label',6,6,3
'glasser.lh.L_i6-8_ROI.label',8,8,3
'glasser.lh.L_s6-8_ROI.label',10,12,3
'glasser.lh.L_43_ROI.label',9,9,3
'glasser.lh.L_OP4_ROI.label',2,2,3
'glasser.lh.L_OP1_ROI.label',2,2,3
'glasser.lh.L_OP2-3_ROI.label',2,2,3
'glasser.lh.L_52_ROI.label',9,9,3
'glasser.lh.L_RI_ROI.label',9,9,3
'glasser.lh.L_PFcm_ROI.label',9,9,3
'glasser.lh.L_PoI2_ROI.label',9,9,3
'glasser.lh.L_TA2_ROI.label',9,9,3
'glasser.lh.L_FOP4_ROI.label',3,3,3
'glasser.lh.L_MI_ROI.label',3,3,3
'glasser.lh.L_Pir_ROI.label',9,9,3
